year_mo,m,n,nd
1975-01,0,0,0
1976-01,0,0,0
1977-06,0.39,10,0
1977-07,0.391666667,12,0
1977-08,0.576923077,13,0
1977-09,0.1,4,0
1977-10,0.1,13,0
1977-11,0.109423077,26,3
1977-12,0.1134375,16,1
1978-01,0,7,0
1978-03,0.05,20,0
1978-04,0.1,2,0
1978-05,0.664444444,45,0
1978-06,4.805714286,35,0
1978-07,2.3,1,0
1978-08,0.5,1,0
1978-11,0,1,0
1978-12,0.05,2,0
1979-01,0,3,0
1979-02,0,2,0
1979-03,0,3,0
1979-04,0.2,5,0
1979-05,1.666666667,3,0
1979-06,1.127272727,11,0
1979-07,1.483333333,6,0
1979-08,0.31875,16,0
1979-09,0.780952381,42,0
1979-10,0.323076923,13,0
1979-11,0.271428571,21,0
1979-12,0.215,20,0
1980-01,0.116666667,18,0
1980-02,0.15,10,0
1980-03,0.33877551,49,0
1980-04,0.263157895,57,0
1980-05,8.526315789,38,0
1980-06,5.490243902,41,0
1980-07,1.803703704,27,0
1980-08,0.544444444,27,0
1980-09,0.442857143,21,0
1980-10,0.257407407,27,9
1980-11,1.377272727,22,8
1980-12,0.2675,20,5
1981-01,0.25625,8,3
1981-02,0.379310345,58,32
1981-03,0.061538462,13,12
1981-04,0.376666667,30,18
1981-05,2.2975,20,7
1981-06,1.2,1,0
1981-07,0.3,1,0
1981-09,0.1375,4,1
1982-04,0.0625,4,3
1982-05,0.15,4,2
1982-06,5.433333333,3,0
1982-07,0.6,4,0
1982-08,0.18125,8,1
1982-10,0.15,4,0
1982-11,0.1125,4,1
1983-01,0.125,4,3
1983-02,0.15,2,1
1983-03,0.276923077,13,11
1983-04,0.4,5,5
1983-05,0.25,2,1
1983-06,12.2,4,1
1983-07,0.4,2,0
1983-08,0.175,2,1
1983-09,0.05,1,1
1983-10,0.175,4,2
1983-11,0.155555556,9,6
1983-12,0.2,2,2
1984-02,0.05,1,1
1984-03,0.1,5,3
1984-05,39.38571429,28,4
1984-06,4.472222222,27,1
1984-07,2.478333333,30,7
1984-08,0.164285714,7,3
1984-09,0.164285714,14,8
1984-10,0.368181818,11,8
1985-05,2.495,10,4
1985-06,173.5,6,0
1985-07,4.004166667,12,3
1985-08,1.864285714,7,2
1985-09,0.9,10,7
1985-11,0.05,3,3
1986-04,0.07,5,5
1986-05,103.5875,8,2
1986-06,3.1,1,0
1986-07,0.885714286,14,9
1986-08,0.05,3,3
1986-12,0.05,2,2
1987-05,5.5,1,0
1987-07,0.05,1,1
1987-09,1.5,2,2
1988-04,0.05,2,2
1988-09,0.283333333,3,1
1988-10,0.225,4,2
1989-06,4.1375,4,1
1989-10,0.05,1,1
1990-01,0.425,2,1
1990-04,0.05,2,2
1990-05,0.276666667,15,1
1990-06,0.805555556,9,3
1990-07,0.15,3,1
1990-08,0.1,2,0
1990-09,0.075,2,1
1990-10,0.0625,2,1
1990-11,0.061428571,14,7
1991-02,0.025,16,16
1991-03,0.05625,12,7
1991-04,0.039166667,6,5
1991-05,0.200384615,13,6
1991-06,2.03765625,32,10
1991-07,0.6,5,3
1991-08,0.166764706,17,6
1991-09,0.0375,2,2
1991-10,0.0315,20,17
1991-11,0.042,5,4
1991-12,0.048571429,7,6
1992-01,0.0375,6,6
1992-02,0.197222222,9,6
1992-03,0.1475,16,13
1992-04,0.025,1,1
1992-05,0.725,8,5
1992-06,1.723131579,19,3
1992-07,0.316,5,0
1992-08,0.485,4,0
1992-09,0.245,10,7
1993-02,0.12,5,4
1993-03,0.100315789,19,16
1993-04,0.064,25,15
1993-05,1.495235294,17,5
1993-06,0.275384615,26,6
1993-07,0.258441176,34,8
1993-08,0.124809524,21,5
1993-09,0.145354167,48,20
1993-10,0.074571429,7,0
1993-11,0.082,7,0
1993-12,0.10325,4,0
1994-01,0.08275,4,0
1994-02,0.079,5,3
1994-03,0.0405,7,1
1994-04,0.0465,14,0
1994-05,3.039461538,52,3
1994-06,1.652119048,84,4
1994-07,0.605583333,78,5
1994-08,0.178615854,82,5
1994-09,0.065558824,17,5
1994-11,0.12325,8,0
1994-12,0.095,1,0
1995-01,0.087666667,6,0
1995-02,0.115833333,3,1
1995-03,0.093090909,11,4
1995-04,0.120266667,15,0
1995-05,1.265169811,53,1
1995-06,0.883927273,55,1
1995-07,0.374398734,79,7
1995-08,0.10175,50,7
1995-09,0.159,2,0
1996-01,0.026666667,3,0
1996-02,0.0225,2,0
1996-03,0.023,1,0
1996-05,0.039,1,0
1996-06,4.645,10,0
1996-07,0.217,1,0
1996-08,0.1185,2,0
1996-09,0.052333333,3,0
1996-11,0.241666667,3,0
1996-12,0.1115,2,0
1997-01,0.106,2,0
1997-02,0.093,2,0
1997-03,0.02925,4,0
1997-04,0.048555556,9,0
1997-05,0.4445,10,0
1997-06,0.271,12,0
1997-07,0.406818182,11,0
1997-08,0.135,5,0
